category,Description,Test Steps,Expected Results
Bill Payments,Setting Up Bill Payment Alerts,"1. Log in to the banking application. 
2. Navigate to the ""Bill Payments"" section. 
3. Access the payment alerts or notifications settings.
4. Set preferences for receiving alerts (e.g., payment due date reminders).","The user receives notifications or alerts as configured, helping them stay informed about upcoming bill payments and due dates. The application should provide timely reminders and notifications."
Bill Payments,Utility Bill Payments,"1. Log in to the banking application. 
2. Navigate to the ""Bill Payments"" section. 
3. Select the utility bill payment option. 4. Provide biller details and payment amount. 
5. Confirm the payment.","The user successfully pays their utility bill, and the payment is processed, resulting in a confirmation or receipt. The application deducts the payment amount from the user's account."
Bill Payments,Credit Card Payments,"1. Log in to the banking application. 
2. Navigate to the ""Bill Payments"" section. 
3. Select the credit card payment option. 4. Provide credit card details and payment amount. 
5. Confirm the payment.","The user successfully pays their credit card bill, and the payment is processed, resulting in a confirmation or receipt. The application deducts the payment amount from the user's account."
Bill Payments,Loan Payments,"1. Log in to the banking application. 2. Navigate to the ""Bill Payments"" section. 3. Select the loan payment option. 4. Provide loan account details and payment amount. 5. Confirm the payment.","The user successfully pays their loan installment, and the payment is processed, resulting in a confirmation or receipt. The application deducts the payment amount from the user's account."
Bill Payments,Mobile Phone Recharge,"1. Log in to the banking application. 
2. Navigate to the ""Bill Payments"" section. 
3. Select the mobile phone recharge option. 
4. Provide the mobile number, carrier, and recharge amount. 
5. Confirm the recharge.","The user successfully recharges their mobile phone, and the payment is processed, resulting in a confirmation or receipt. The application deducts the recharge amount from the user's account."
Bill Payments,Internet and Cable TV Payments,"1. Log in to the banking application. 
2. Navigate to the ""Bill Payments"" section. 
3. Select the internet or cable TV payment option.
4. Provide biller details and payment amount. 
5. Confirm the payment.","The user successfully pays their internet or cable TV bill, and the payment is processed, resulting in a confirmation or receipt. The application deducts the payment amount from the user's account."
Bill Payments,School and Tuition Fee Payments,"1. Log in to the banking application. 
2. Navigate to the ""Bill Payments"" section. 
3. Select the school or tuition fee payment option. 
4. Provide payee details and payment amount. 
5. Confirm the payment.","The user successfully pays their school or tuition fees, and the payment is processed, resulting in a confirmation or receipt. The application deducts the payment amount from the user's account."
Bill Payments,Tax Payments,"1. Log in to the banking application. 
2. Navigate to the ""Bill Payments"" section. 
3. Select the tax payment option. 
4. Provide tax details and payment amount. 
5. Confirm the payment.","The user successfully pays their taxes, and the payment is processed, resulting in a confirmation or receipt. The application deducts the payment amount from the user's account."
Bill Payments,Miscellaneous Payments,"1. Log in to the banking application. 
2. Navigate to the ""Bill Payments"" section. 
3. Select the miscellaneous payment option. 
4. Provide details and payment amount. 5. Confirm the payment.","The user successfully makes the specified miscellaneous payment, and the payment is processed, resulting in a confirmation or receipt. The application deducts the payment amount from the user's account."
Investments,Buy Mutual Funds,"1.Navigate to the URL of your bank's official website.
2.Click on ""Login"" or ""Sign In"" button in bank's website,. 
3.Enter your registered username or user ID in the provided field.
4.Enter Password in provided field.
5.Enter OTP sent to the register mobile number in provided field.
6.Click the ""Login"" or ""Submit"" button to initiate the login process.
7. In the ""Investment"" section, choose ""Buy Mutual Funds."" 
8. Select the investment fund to purchase. 
9. Enter the investment amount. 
10. Confirm the transaction.","The application processes the purchase, and the mutual fund units are added to the user's investment portfolio. A confirmation message is displayed."
